,,Total,Avon and Somerset,Bedfordshire,Cambridgeshire,Cheshire,City of London,Cleveland,Cumbria,Derbyshire,Devon and Cornwall,Dorset,Durham,Dyfed Powys,Essex,Gloucestershire,Greater Manchester,Gwent,Hampshire,Hertfordshire,Humberside,Kent,Lancashire,Leicestershire,Lincolnshire,London Met.,Merseyside,Norfolk,North Wales,North Yorkshire,Northamptonshire,Northumbria,Nottinghamshire,South Wales,South Yorkshire,Staffordshire,Suffolk,Surrey,Sussex,Thames Valley,Warwickshire,West Mercia,West Midlands,West Yorkshire,Wiltshire
,DISSATISFIED,23%,23%,19%,12%,11%,-,20%,17%,22%,15%,18%,19%,20%,24%,26%,28%,25%,24%,29%,16%,22%,22%,16%,30%,30%,21%,19%,23%,21%,24%,18%,23%,26%,28%,18%,19%,29%,27%,17%,32%,31%,27%,22%,32%
,NET SATISFIED,49%,49%,56%,73%,76%,100%,58%,61%,51%,66%,59%,57%,53%,44%,45%,39%,48%,52%,39%,60%,54%,51%,62%,38%,34%,54%,56%,48%,52%,48%,61%,45%,43%,38%,61%,58%,39%,44%,61%,27%,29%,41%,53%,31%

,Base: All who have called the police in past year,5496,97,103,98,99,7,96,152,157,97,102,94,100,105,99,369,147,93,98,99,95,94,123,100,398,97,98,94,94,100,95,110,98,98,104,101,97,98,103,99,100,391,398,99
Q.23.,"I'm now going to ask a few questions about getting hold of the Police. Overall, to what extent were you satisfied with the ease with which you were able to contact the police?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Very satisfied,53%,61%,54%,62%,57%,86%,70%,58%,58%,42%,54%,54%,50%,56%,58%,49%,59%,58%,46%,46%,61%,49%,66%,50%,51%,59%,48%,55%,47%,56%,74%,55%,50%,57%,56%,59%,44%,51%,67%,35%,40%,45%,56%,48%
,Fairly satisfied,26%,19%,27%,30%,29%,-,24%,26%,28%,33%,27%,23%,30%,27%,19%,30%,22%,32%,28%,34%,21%,30%,20%,32%,28%,27%,32%,28%,31%,25%,12%,20%,27%,27%,26%,23%,30%,26%,18%,26%,29%,28%,25%,20%
,Neither satisfied nor dissatisfied,3%,2%,6%,1%,2%,-,-,1%,4%,3%,2%,2%,3%,1%,6%,4%,2%,2%,4%,3%,2%,2%,5%,2%,2%,2%,3%,2%,-,4%,1%,5%,1%,2%,2%,6%,6%,2%,3%,6%,6%,2%,4%,2%
,Fairly dissatisfied,8%,8%,4%,4%,4%,14%,3%,6%,4%,10%,7%,10%,7%,8%,9%,8%,7%,4%,11%,5%,8%,10%,7%,8%,9%,5%,8%,6%,12%,8%,5%,7%,9%,5%,8%,8%,5%,7%,6%,8%,11%,13%,10%,8%
,Very dissatisfied,9%,10%,9%,2%,8%,-,3%,7%,5%,10%,9%,10%,10%,8%,8%,9%,9%,3%,11%,11%,6%,9%,2%,7%,9%,7%,7%,6%,9%,7%,6%,12%,13%,9%,9%,3%,13%,13%,6%,23%,14%,12%,5%,19%
,Don't know,1%,-,-,1%,-,-,-,2%,1%,1%,1%,1%,-,1%,-,1%,1%,-,-,-,1%,1%,-,1%,1%,-,2%,2%,2%,-,2%,-,-,-,-,1%,1%,1%,-,1%,-,1%,1%,2%
,SATISFIED,80%,79%,82%,92%,86%,86%,94%,84%,86%,75%,81%,78%,80%,83%,77%,79%,81%,90%,73%,81%,82%,79%,85%,82%,79%,86%,80%,83%,78%,81%,85%,75%,77%,84%,82%,82%,74%,77%,85%,62%,69%,73%,80%,69%
,DISSATISFIED,17%,19%,13%,6%,12%,14%,6%,13%,9%,21%,16%,19%,17%,15%,17%,17%,16%,8%,22%,16%,15%,18%,10%,15%,18%,12%,15%,13%,20%,15%,12%,19%,22%,14%,16%,11%,19%,20%,12%,31%,25%,25%,15%,27%
,NET SATISFIED,63%,61%,69%,86%,74%,71%,88%,70%,77%,55%,66%,59%,63%,68%,60%,62%,65%,83%,51%,65%,67%,61%,76%,67%,61%,73%,64%,70%,57%,66%,74%,56%,54%,69%,65%,71%,56%,56%,74%,30%,44%,48%,66%,41%

,Base: All who have called the police in past year,5496,97,103,98,99,7,96,152,157,97,102,94,100,105,99,369,147,93,98,99,95,94,123,100,398,97,98,94,94,100,95,110,98,98,104,101,97,98,103,99,100,391,398,99
Q.24.,To what extent were you satisfied or dissatisfied with how quickly the police responded to your initial contact?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Very satisfied,39%,35%,43%,47%,54%,71%,45%,47%,41%,39%,42%,39%,42%,35%,30%,35%,39%,37%,32%,35%,48%,33%,39%,38%,32%,36%,47%,40%,39%,40%,55%,33%,37%,35%,45%,43%,44%,39%,46%,28%,28%,35%,38%,36%
,Fairly satisfied,26%,31%,23%,33%,25%,14%,25%,26%,28%,32%,20%,28%,28%,27%,33%,24%,27%,22%,21%,27%,18%,29%,29%,24%,27%,24%,35%,26%,23%,24%,27%,24%,26%,22%,30%,32%,22%,26%,24%,25%,29%,25%,27%,17%
,Neither satisfied nor dissatisfied,3%,1%,6%,2%,-,-,5%,5%,4%,4%,2%,3%,3%,4%,1%,4%,3%,3%,5%,7%,1%,2%,4%,3%,3%,3%,1%,1%,2%,-,2%,5%,5%,5%,5%,3%,2%,4%,5%,4%,5%,3%,2%,3%
,Fairly dissatisfied,10%,14%,11%,10%,9%,-,7%,3%,8%,11%,12%,10%,7%,9%,7%,11%,7%,13%,17%,9%,9%,12%,13%,12%,10%,9%,5%,9%,16%,15%,2%,15%,4%,12%,7%,7%,10%,6%,4%,10%,9%,9%,11%,13%
,Very dissatisfied,19%,18%,16%,6%,10%,-,15%,14%,17%,12%,21%,17%,16%,21%,23%,23%,22%,19%,20%,19%,21%,17%,12%,20%,23%,27%,10%,21%,15%,20%,14%,21%,23%,23%,13%,10%,18%,23%,18%,31%,25%,25%,17%,29%
,Don't know,3%,1%,2%,2%,2%,14%,3%,6%,2%,1%,4%,3%,4%,5%,5%,3%,1%,6%,4%,2%,2%,7%,2%,3%,5%,1%,2%,3%,4%,1%,-,3%,5%,2%,-,6%,4%,2%,3%,1%,4%,4%,4%,1%
,SATISFIED,65%,66%,66%,80%,79%,86%,70%,73%,69%,71%,62%,67%,70%,62%,64%,59%,67%,58%,53%,63%,66%,62%,68%,62%,59%,60%,82%,66%,63%,64%,82%,56%,62%,57%,75%,74%,66%,64%,70%,54%,57%,60%,65%,54%
,DISSATISFIED,29%,32%,26%,16%,19%,-,22%,16%,25%,24%,32%,27%,23%,30%,30%,34%,29%,32%,38%,28%,31%,29%,25%,32%,32%,36%,15%,30%,31%,35%,16%,35%,28%,36%,20%,17%,28%,30%,22%,41%,34%,33%,29%,42%
,NET SATISFIED,36%,34%,40%,63%,60%,86%,48%,57%,43%,47%,29%,40%,47%,32%,33%,25%,37%,26%,15%,34%,36%,33%,43%,30%,27%,24%,66%,36%,32%,29%,66%,21%,35%,21%,55%,57%,38%,35%,48%,12%,23%,27%,36%,11%

,Base: All who have called the police in past year,5496,97,103,98,99,7,96,152,157,97,102,94,100,105,99,369,147,93,98,99,95,94,123,100,398,97,98,94,94,100,95,110,98,98,104,101,97,98,103,99,100,391,398,99
Q.25.,To what extent were you satisfied or dissatisfied with the way in which you were provided with information from the police following your call?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Very satisfied,31%,39%,27%,50%,49%,86%,35%,32%,29%,33%,34%,32%,41%,24%,23%,30%,33%,32%,20%,32%,36%,30%,33%,29%,22%,39%,31%,29%,29%,41%,41%,28%,31%,30%,44%,29%,37%,32%,28%,21%,27%,29%,30%,28%
,Fairly satisfied,25%,18%,26%,22%,24%,-,23%,24%,28%,28%,16%,26%,22%,21%,29%,23%,25%,27%,22%,27%,26%,28%,28%,25%,26%,26%,30%,19%,27%,26%,33%,23%,18%,29%,34%,33%,19%,27%,29%,16%,21%,28%,28%,19%
,Neither satisfied nor dissatisfied,6%,7%,9%,6%,6%,-,4%,7%,5%,4%,8%,5%,1%,10%,3%,7%,8%,5%,7%,6%,2%,5%,8%,4%,6%,4%,9%,9%,3%,7%,3%,7%,6%,6%,2%,10%,10%,6%,13%,7%,8%,3%,5%,5%
,Fairly dissatisfied,13%,18%,18%,9%,7%,14%,13%,14%,20%,15%,11%,11%,13%,10%,10%,13%,12%,8%,18%,16%,6%,19%,11%,19%,17%,12%,14%,17%,13%,10%,6%,16%,18%,14%,8%,9%,9%,11%,13%,14%,16%,12%,13%,17%
,Very dissatisfied,22%,19%,19%,10%,11%,-,24%,20%,18%,14%,28%,22%,22%,30%,31%,24%,19%,27%,28%,16%,23%,16%,20%,23%,26%,19%,12%,22%,24%,16%,17%,25%,21%,21%,11%,16%,23%,19%,15%,40%,25%,25%,20%,30%
,Don't know,3%,-,-,2%,2%,-,1%,3%,1%,5%,3%,4%,1%,4%,3%,2%,2%,1%,4%,2%,6%,2%,-,-,4%,-,4%,4%,4%,-,-,1%,5%,-,2%,4%,2%,5%,3%,1%,3%,3%,4%,-
,SATISFIED,56%,57%,53%,72%,74%,86%,58%,56%,57%,61%,50%,57%,63%,45%,53%,53%,59%,59%,43%,60%,62%,57%,61%,54%,47%,65%,60%,48%,55%,67%,74%,51%,49%,58%,78%,61%,56%,58%,57%,37%,48%,57%,59%,47%
,DISSATISFIED,35%,36%,38%,19%,18%,14%,36%,34%,38%,30%,39%,33%,35%,41%,41%,38%,31%,34%,46%,32%,29%,35%,31%,42%,42%,31%,27%,39%,37%,26%,23%,41%,40%,36%,18%,25%,32%,31%,27%,55%,41%,37%,33%,47%
,NET SATISFIED,21%,21%,16%,53%,56%,71%,22%,22%,19%,31%,11%,24%,28%,4%,11%,15%,27%,25%,-3%,27%,33%,22%,30%,12%,5%,34%,34%,9%,18%,41%,51%,10%,9%,22%,60%,37%,24%,28%,30%,-17%,7%,20%,25%,0%

,Base: All who have called the police in past year,5496,97,103,98,99,7,96,152,157,97,102,94,100,105,99,369,147,93,98,99,95,94,123,100,398,97,98,94,94,100,95,110,98,98,104,101,97,98,103,99,100,391,398,99
Q.26.,Did the police tell you that they would be taking action or not be taking action as a result of your call?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Said would definitely take action,30%,27%,31%,41%,40%,57%,39%,32%,35%,30%,27%,33%,32%,24%,29%,31%,24%,35%,23%,34%,31%,28%,34%,32%,27%,25%,31%,31%,35%,34%,37%,33%,30%,26%,35%,30%,30%,23%,33%,26%,22%,25%,30%,35%
,Said would probably take action,11%,18%,11%,6%,18%,-,8%,7%,13%,12%,13%,13%,8%,14%,10%,10%,11%,9%,15%,12%,7%,16%,11%,12%,9%,19%,11%,9%,7%,13%,8%,10%,10%,12%,9%,10%,7%,14%,5%,11%,14%,13%,12%,9%
,Said would probably not take action,5%,5%,4%,7%,2%,-,4%,1%,4%,1%,6%,4%,2%,6%,6%,3%,5%,4%,4%,3%,7%,4%,5%,4%,5%,6%,1%,7%,3%,6%,4%,5%,9%,5%,10%,6%,10%,6%,6%,1%,6%,6%,6%,4%
,Said would definitely not take action,10%,5%,14%,12%,9%,-,13%,7%,9%,9%,6%,7%,13%,11%,11%,12%,14%,5%,14%,8%,11%,7%,10%,14%,11%,9%,14%,7%,11%,12%,14%,7%,8%,11%,11%,9%,19%,12%,7%,9%,6%,7%,10%,10%
,Didn't say one way or the other,36%,39%,29%,24%,22%,14%,32%,46%,34%,37%,38%,37%,44%,37%,32%,33%,42%,43%,32%,35%,38%,37%,37%,31%,39%,34%,36%,36%,38%,30%,31%,38%,32%,41%,26%,36%,30%,33%,45%,45%,40%,40%,34%,38%
,Don't know/ can't remember,8%,6%,12%,9%,8%,29%,4%,7%,4%,10%,10%,5%,1%,8%,11%,10%,3%,3%,11%,7%,6%,7%,3%,7%,10%,7%,7%,10%,5%,5%,6%,7%,11%,5%,11%,10%,4%,11%,5%,7%,12%,10%,8%,3%
,WOULD TAKE ACTION,41%,44%,42%,47%,59%,57%,47%,39%,48%,42%,40%,46%,40%,38%,39%,41%,35%,44%,39%,46%,38%,44%,45%,44%,36%,43%,42%,39%,43%,47%,45%,43%,40%,38%,43%,40%,37%,38%,38%,37%,36%,37%,42%,44%
,WOULD NOT TAKE ACTION,15%,10%,17%,19%,11%,-,17%,8%,13%,10%,12%,12%,15%,17%,17%,15%,19%,10%,18%,11%,18%,12%,15%,18%,16%,15%,15%,15%,14%,18%,18%,12%,17%,16%,20%,15%,29%,18%,13%,10%,12%,13%,16%,14%
,NET WOULD TAKE ACTION,26%,34%,24%,28%,47%,57%,30%,31%,34%,32%,28%,34%,25%,21%,22%,26%,16%,34%,20%,35%,20%,32%,30%,26%,20%,28%,27%,24%,29%,29%,27%,31%,22%,21%,23%,25%,8%,19%,25%,27%,24%,24%,26%,30%

,Base: All who have called the police in past year,5496,97,103,98,99,7,96,152,157,97,102,94,100,105,99,369,147,93,98,99,95,94,123,100,398,97,98,94,94,100,95,110,98,98,104,101,97,98,103,99,100,391,398,99
Q.27.,"As far as you know, did the police take any action?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,39%,45%,36%,46%,48%,57%,44%,42%,41%,45%,35%,47%,40%,32%,44%,40%,36%,38%,36%,47%,37%,39%,37%,32%,33%,28%,40%,39%,41%,33%,44%,42%,35%,36%,50%,45%,45%,37%,35%,34%,39%,34%,37%,44%
,No,39%,32%,41%,33%,27%,14%,36%,34%,31%,32%,39%,34%,41%,41%,34%,43%,37%,37%,42%,34%,45%,34%,36%,44%,45%,53%,36%,36%,33%,44%,34%,38%,49%,48%,38%,32%,41%,49%,39%,41%,36%,43%,39%,43%
,Don't know,22%,23%,23%,21%,24%,29%,20%,24%,27%,23%,25%,19%,19%,27%,21%,17%,27%,26%,22%,18%,18%,27%,28%,24%,22%,20%,24%,24%,26%,23%,22%,20%,16%,16%,12%,24%,13%,14%,26%,24%,25%,24%,24%,12%

,Base: All who say that the police took action as a result of their call,2129,44,37,45,48,4,42,64,65,44,36,44,40,34,44,148,53,35,35,47,35,37,45,32,131,27,39,37,39,33,42,46,34,35,52,45,44,36,36,34,39,131,147,44
Q.28.,What action did the police take?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Attended the scene,56%,57%,51%,71%,54%,25%,55%,61%,46%,64%,61%,50%,40%,53%,43%,55%,60%,57%,51%,43%,54%,57%,49%,41%,60%,63%,49%,54%,54%,55%,67%,57%,62%,63%,75%,60%,48%,56%,56%,56%,44%,59%,66%,39%
,Dispersed/ separated the perpetrators,13%,11%,11%,16%,17%,25%,14%,19%,11%,18%,25%,16%,3%,15%,2%,11%,17%,17%,9%,13%,6%,3%,18%,13%,18%,19%,8%,11%,15%,9%,17%,11%,6%,9%,13%,18%,7%,14%,14%,12%,15%,15%,13%,7%
,Stopped the noise/ disruption,13%,16%,8%,22%,15%,25%,10%,22%,9%,11%,19%,14%,15%,15%,14%,11%,11%,26%,17%,17%,17%,14%,13%,19%,15%,19%,8%,5%,10%,9%,14%,15%,9%,-,12%,13%,9%,8%,17%,18%,-,14%,7%,7%
,Came to see me,12%,16%,11%,4%,15%,25%,17%,11%,12%,9%,11%,16%,15%,15%,11%,11%,8%,11%,14%,15%,3%,19%,13%,13%,8%,19%,13%,5%,13%,18%,19%,9%,9%,11%,6%,9%,11%,3%,6%,6%,13%,10%,16%,14%
,Made an arrest/ arrests,11%,16%,16%,11%,4%,25%,12%,13%,11%,11%,17%,11%,10%,15%,11%,14%,11%,9%,14%,13%,9%,11%,2%,19%,12%,19%,15%,16%,15%,3%,10%,13%,6%,17%,6%,7%,-,11%,6%,18%,15%,16%,6%,14%
,Cautioned the perpetrators,11%,7%,14%,11%,8%,-,10%,14%,20%,18%,8%,16%,25%,3%,14%,9%,8%,17%,20%,13%,17%,19%,2%,9%,5%,22%,5%,11%,15%,12%,14%,13%,6%,14%,15%,16%,14%,6%,8%,6%,15%,9%,7%,9%
,Spoke to me/ reassured me over the phone,6%,9%,5%,2%,13%,-,7%,6%,3%,7%,3%,7%,10%,6%,7%,7%,6%,3%,9%,11%,6%,3%,7%,3%,5%,19%,5%,3%,3%,6%,10%,4%,6%,9%,6%,2%,2%,8%,11%,3%,5%,4%,3%,5%
,Got other public services/ agencies involved,4%,9%,-,2%,6%,-,5%,2%,3%,5%,11%,5%,3%,-,2%,7%,2%,6%,6%,2%,9%,5%,4%,-,4%,4%,8%,5%,-,6%,2%,-,9%,6%,4%,-,2%,6%,11%,3%,3%,5%,1%,5%
,Spoke to the offenders,3%,-,3%,2%,-,-,5%,3%,2%,5%,-,11%,5%,-,2%,2%,-,6%,3%,4%,6%,5%,4%,9%,5%,4%,3%,3%,8%,3%,-,2%,3%,3%,4%,4%,-,6%,-,3%,-,2%,3%,2%
,Warning letter issued,3%,5%,-,2%,2%,-,2%,3%,-,-,-,7%,3%,-,-,2%,4%,9%,-,4%,6%,8%,2%,-,-,11%,8%,-,-,12%,2%,4%,3%,3%,10%,2%,5%,6%,-,3%,3%,2%,5%,2%
,Removed trespasser(s),3%,7%,-,4%,2%,-,-,8%,6%,-,11%,-,-,3%,2%,2%,4%,3%,-,6%,6%,3%,-,3%,5%,7%,3%,5%,5%,-,2%,-,9%,-,2%,-,-,-,3%,-,-,2%,2%,2%
,Patrolled the area/ increased police patrols,2%,-,3%,2%,4%,-,2%,-,-,-,6%,7%,3%,3%,2%,5%,-,-,3%,4%,6%,3%,2%,-,2%,4%,3%,3%,8%,9%,2%,2%,3%,3%,-,-,-,-,-,3%,3%,2%,3%,5%
,Confiscated items (e.g. drugs/ alcohol/ fireworks),2%,-,3%,-,2%,-,5%,-,3%,5%,-,2%,3%,-,-,2%,4%,-,-,2%,3%,5%,2%,3%,-,-,5%,5%,-,-,7%,2%,3%,3%,6%,7%,7%,3%,-,6%,3%,2%,2%,2%
,Sent me further information,2%,2%,3%,2%,6%,-,-,3%,-,2%,3%,5%,3%,-,-,5%,-,-,-,4%,3%,3%,-,6%,-,4%,8%,-,-,6%,2%,-,-,-,4%,-,2%,3%,-,6%,-,2%,3%,-
,Spoke to the parents,2%,-,-,4%,-,-,5%,-,2%,2%,-,7%,-,3%,-,4%,2%,6%,3%,-,3%,3%,2%,6%,-,-,3%,3%,3%,6%,5%,2%,3%,-,2%,-,2%,-,-,6%,3%,-,3%,-
,Anti-Social Behaviour Order (ASBO) put in place,2%,2%,3%,-,2%,-,10%,3%,2%,5%,-,-,-,-,-,2%,2%,3%,-,4%,3%,3%,2%,-,1%,4%,-,-,-,3%,2%,2%,-,-,-,4%,7%,-,-,6%,-,4%,1%,2%
,Removed the vehicle,1%,2%,3%,-,-,-,2%,-,2%,-,-,-,3%,-,-,1%,2%,-,6%,4%,3%,3%,4%,3%,1%,-,-,3%,-,-,-,2%,3%,-,-,4%,5%,6%,-,-,-,2%,1%,-
,Took them to court/ charged them,1%,2%,3%,-,-,-,-,5%,5%,-,-,-,-,3%,2%,1%,4%,-,3%,4%,-,-,4%,3%,2%,-,-,3%,-,3%,-,2%,-,3%,-,-,2%,-,-,-,-,-,-,-
,Contacted the owner,1%,-,-,2%,-,-,-,-,5%,2%,-,-,-,-,-,2%,2%,-,3%,-,-,-,2%,-,1%,-,-,-,-,-,-,-,6%,-,-,-,5%,3%,-,-,-,-,1%,-
,Issued a verbal warning,1%,-,3%,-,-,-,-,2%,-,-,-,-,3%,-,-,-,2%,-,3%,2%,-,3%,2%,-,2%,-,-,-,-,-,-,-,-,-,2%,2%,2%,-,-,-,-,2%,1%,-
,On the spot fine/ fixed penalty notice Issued,1%,-,3%,-,-,25%,2%,-,3%,-,3%,2%,-,-,-,1%,-,-,-,-,-,-,2%,-,-,-,3%,-,-,-,-,2%,-,3%,2%,-,-,-,-,-,-,-,1%,-
,Took statements,1%,-,-,2%,2%,-,-,2%,2%,-,3%,-,-,3%,-,-,-,-,-,2%,3%,3%,-,-,1%,-,-,-,-,-,-,-,-,-,-,-,-,3%,-,-,-,1%,-,-
,Installed security cameras/CCTV,1%,-,-,-,-,-,-,2%,-,-,-,-,-,-,5%,-,-,-,3%,2%,-,-,-,-,-,4%,-,-,-,-,2%,-,3%,-,-,-,-,-,3%,3%,-,-,-,2%
,Spoke to neighbours,1%,-,3%,-,-,-,-,-,-,2%,-,2%,3%,3%,-,-,-,-,-,-,3%,-,-,-,-,-,-,-,3%,-,-,-,-,-,-,-,-,-,3%,-,-,1%,1%,-
,Acceptable Behaviour Contract (ABC) put in place,*,-,-,-,-,-,-,-,-,-,-,5%,-,-,-,1%,-,-,3%,-,3%,-,-,3%,-,-,-,-,-,-,-,-,-,-,-,-,2%,-,3%,-,3%,1%,-,-
,Evicted the offenders/ issued eviction notice,*,-,-,-,-,-,-,-,-,2%,-,-,-,-,2%,-,-,3%,-,-,-,3%,2%,-,2%,-,3%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1%,-,-
,Carried out a search,*,-,-,-,2%,-,-,-,2%,2%,-,-,-,-,-,-,-,-,-,-,-,-,-,3%,-,-,-,3%,-,3%,2%,-,-,-,2%,-,-,-,3%,-,-,-,-,-
,Parenting order/ contract put in place,*,-,-,-,-,-,-,2%,2%,-,-,-,-,-,2%,-,-,-,-,2%,-,-,-,-,-,-,-,-,-,-,2%,-,-,-,-,-,2%,-,-,-,-,1%,1%,-
,Monitored the situation/ returned,*,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5%,-,-,-,-,-,-,-,-,-,-,-,-,2%,2%,-,-,-,-,-,-,1%,2%
,Issued an antiharassment order,*,-,-,-,-,-,-,-,-,-,-,5%,-,-,-,-,-,-,-,-,-,-,-,-,1%,-,3%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2%
,Checked police records/ computer/cctv,*,-,3%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2%,3%,-,-,-,-,-,-,-,2%,-,-,2%,-,-,-,-,-,-,-,-,-
,Police raid,*,-,-,-,-,-,-,-,-,-,-,-,3%,-,-,-,-,3%,-,-,-,-,-,-,1%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1%,2%
,Made offender apologise,*,-,-,-,-,-,-,-,3%,-,-,-,-,-,-,-,-,-,-,-,-,-,2%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Put up posters/gave out leaflets/stickers,*,-,-,-,2%,-,-,-,-,-,-,-,3%,-,-,-,-,-,-,-,-,-,-,-,1%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Made offender pay for damages,*,-,-,-,-,-,-,-,2%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Closure notice issued,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Other,2%,2%,-,2%,4%,-,2%,2%,2%,5%,3%,-,-,3%,7%,1%,-,3%,-,-,9%,-,2%,3%,2%,-,3%,3%,-,-,-,4%,3%,3%,2%,4%,7%,6%,-,3%,3%,3%,1%,-
,None/nothing,*,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3%,-,-,-,-,-,-,-,-,2%,-,-,-,-,-,-,-
,Don't know,5%,2%,3%,9%,-,-,5%,5%,8%,2%,3%,5%,10%,9%,9%,3%,8%,6%,3%,9%,-,3%,9%,3%,9%,-,-,8%,5%,6%,2%,7%,-,6%,2%,4%,7%,8%,8%,3%,8%,5%,2%,9%
,No answer,*,-,3%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2%,-,-,-,-,-,-,-

,Base: All who say that the police took action as a result of their call,2129,44,37,45,48,4,42,64,65,44,36,44,40,34,44,148,53,35,35,47,35,37,45,32,131,27,39,37,39,33,42,46,34,35,52,45,44,36,36,34,39,131,147,44
Q.29.,How satisfied or dissatisfied were you with the action taken by the police?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Very satisfied,55%,52%,41%,78%,67%,50%,60%,58%,65%,61%,69%,48%,55%,53%,57%,47%,49%,60%,60%,47%,57%,49%,53%,47%,54%,67%,64%,59%,59%,64%,55%,61%,53%,60%,58%,53%,68%,53%,72%,32%,46%,53%,50%,52%
,Fairly satisfied,28%,23%,41%,13%,23%,50%,12%,33%,22%,25%,19%,30%,38%,35%,23%,37%,36%,20%,31%,45%,23%,32%,27%,38%,23%,15%,21%,27%,26%,24%,29%,17%,32%,17%,23%,31%,20%,33%,22%,26%,33%,34%,31%,11%
,Neither satisfied nor dissatisfied,2%,7%,5%,-,2%,-,-,2%,3%,2%,-,11%,-,3%,2%,3%,-,-,-,-,3%,-,2%,3%,2%,-,-,-,5%,3%,-,7%,6%,3%,-,2%,-,-,-,3%,-,-,3%,5%
,Fairly dissatisfied,5%,7%,-,7%,-,-,5%,-,3%,5%,6%,2%,-,6%,5%,5%,4%,9%,6%,6%,3%,11%,7%,6%,7%,7%,8%,8%,-,3%,7%,-,3%,14%,6%,7%,2%,3%,3%,9%,8%,6%,5%,14%
,Very dissatisfied,8%,11%,14%,-,8%,-,21%,6%,8%,5%,3%,9%,8%,3%,7%,6%,8%,9%,3%,2%,11%,8%,7%,6%,14%,11%,5%,5%,8%,3%,10%,13%,6%,3%,12%,7%,5%,8%,3%,24%,8%,5%,10%,18%
,Don't know,2%,-,-,2%,-,-,2%,2%,-,2%,3%,-,-,-,7%,1%,4%,3%,-,-,3%,-,4%,-,1%,-,3%,-,3%,3%,-,2%,-,3%,2%,-,5%,3%,-,6%,5%,2%,1%,-
,SATISFIED,83%,75%,81%,91%,90%,100%,71%,91%,86%,86%,89%,77%,93%,88%,80%,84%,85%,80%,91%,91%,80%,81%,80%,84%,77%,81%,85%,86%,85%,88%,83%,78%,85%,77%,81%,84%,89%,86%,94%,59%,79%,87%,81%,64%
,DISSATISFIED,13%,18%,14%,7%,8%,-,26%,6%,11%,9%,8%,11%,8%,9%,11%,11%,11%,17%,9%,9%,14%,19%,13%,13%,21%,19%,13%,14%,8%,6%,17%,13%,9%,17%,17%,13%,7%,11%,6%,32%,15%,11%,15%,32%
,NET SATISFIED,70%,57%,68%,84%,81%,100%,45%,84%,75%,77%,81%,66%,85%,79%,68%,73%,74%,63%,83%,83%,66%,62%,67%,72%,56%,63%,72%,73%,77%,82%,67%,65%,76%,60%,63%,71%,82%,75%,89%,26%,64%,76%,66%,32%

,Base: All who say that the police took action as a result of their call,2129,44,37,45,48,4,42,64,65,44,36,44,40,34,44,148,53,35,35,47,35,37,45,32,131,27,39,37,39,33,42,46,34,35,52,45,44,36,36,34,39,131,147,44
Q.30.,"Did any other local services take any action as a result of your call, for example the council?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,19%,30%,22%,16%,17%,25%,19%,9%,22%,23%,8%,23%,13%,15%,16%,24%,19%,23%,34%,15%,17%,32%,13%,16%,21%,30%,21%,24%,8%,18%,12%,13%,15%,14%,29%,13%,27%,14%,22%,12%,15%,22%,14%,16%
,Council,11%,23%,11%,9%,8%,-,5%,5%,14%,7%,3%,16%,8%,6%,9%,11%,9%,11%,23%,11%,14%,24%,11%,9%,9%,11%,18%,19%,8%,9%,10%,9%,6%,11%,21%,4%,9%,11%,11%,3%,5%,11%,9%,9%
